n,algoritmo,tempo,co2
100,classico,6.508827209472656e-05,1.5285332762892864e-08
100,heap,0.0002315044403076172,2.2215563578192477e-08
100,networkx,0.0009207725524902344,8.370239942120286e-08
100,classico,4.839897155761719e-05,5.82789531221109e-08
100,heap,0.0002827644348144531,3.452202628375043e-08
100,networkx,9.799003601074219e-05,4.653693502796645e-08
100,classico,3.504753112792969e-05,3.1534699588066756e-08
100,heap,0.00023674964904785156,8.025686226748975e-08
100,networkx,7.772445678710938e-05,1.4256394879486016e-08
100,classico,3.647804260253906e-05,1.3304657894857895e-08
100,heap,0.00021576881408691406,1.9387129972596865e-08
100,networkx,7.62939453125e-05,1.9109872044307456e-08
100,classico,3.6716461181640625e-05,1.1921597094276843e-08
100,heap,0.00023126602172851562,2.9259621098200997e-08
100,networkx,7.343292236328125e-05,1.993420361286437e-08
100,classico,3.600120544433594e-05,2.3460418536236065e-08
100,heap,0.00032711029052734375,3.591505331137142e-08
100,networkx,7.414817810058594e-05,2.2787841632890932e-08
100,classico,3.24249267578125e-05,2.4851550548625614e-08
100,heap,0.00023055076599121094,2.0243043341968223e-08
100,networkx,9.560585021972656e-05,1.4784995690930026e-08
100,classico,3.218650817871094e-05,2.1465365553267543e-08
100,heap,0.00020623207092285156,1.9735339889373927e-08
100,networkx,7.557868957519531e-05,1.689790451645678e-08
100,classico,3.218650817871094e-05,1.5380620171100608e-08
100,heap,0.00021910667419433594,3.171301569127386e-08
100,networkx,7.224082946777344e-05,3.210762492793474e-08
100,classico,3.266334533691406e-05,1.4850683302400015e-08
100,heap,0.00029587745666503906,1.4135846848529951e-08
100,networkx,7.82012939453125e-05,2.2352428010126396e-08
100,classico,3.838539123535156e-05,1.754198347988585e-08
100,heap,0.00021910667419433594,2.3269477474982743e-08
100,networkx,8.487701416015625e-05,2.6930216611787307e-08
100,classico,3.0279159545898438e-05,2.1244001202480674e-08
100,heap,0.00024008750915527344,2.0705261078818103e-08
100,networkx,7.987022399902344e-05,2.5120983956358912e-08
100,classico,3.647804260253906e-05,1.4469144227676226e-08
100,heap,0.00022935867309570312,3.39204896959228e-08
100,networkx,7.677078247070312e-05,1.864621743313973e-08
100,classico,3.266334533691406e-05,1.591810676571963e-08
100,heap,0.00023245811462402344,1.9948290427015568e-08
100,networkx,7.271766662597656e-05,1.3585939607852527e-08
100,classico,3.743171691894531e-05,1.2257963166767128e-08
100,heap,0.0002498626708984375,1.4762262201421339e-08
100,networkx,7.104873657226562e-05,2.1329833609607712e-08
500,classico,0.02045750617980957,2.143150705815866e-07
500,heap,0.00799250602722168,9.419335468753474e-08
500,networkx,0.001901388168334961,3.284670936676602e-08
500,classico,0.015842676162719727,1.6232704521313398e-07
500,heap,0.004358053207397461,7.431977014508772e-08
500,networkx,0.0014767646789550781,4.0294707110399886e-08
500,classico,0.013495206832885742,1.4095853687924344e-07
500,heap,0.004662513732910156,6.538389424794727e-08
500,networkx,0.0015125274658203125,3.825416751970757e-08
500,classico,0.0187833309173584,1.9638878223255607e-07
500,heap,0.004233121871948242,5.343828916764395e-08
500,networkx,0.0010976791381835938,6.332557238517458e-08
500,classico,0.014286518096923828,1.4592917130062027e-07
500,heap,0.0032486915588378906,5.2986670222072786e-08
